type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_air_process,power_W,wear_x_torque_minNm
M,301.7,309.9,1457,39.2,192,No Failure,8.199999999999989,5981.0,7526.400000000001
M,301.7,310.0,1391,50.6,195,No Failure,8.300000000000011,7370.7,9867.0
M,301.8,310.0,1781,23.9,198,No Failure,8.199999999999989,4457.5,4732.2
L,301.8,310.0,1642,32.6,201,No Failure,8.199999999999989,5605.6,6552.6
L,301.8,310.0,2032,19.0,203,No Failure,8.199999999999989,4043.0,3857.0
M,301.7,310.1,1743,27.3,210,No Failure,8.400000000000034,4983.0,5733.0
L,301.8,310.2,1457,40.4,213,No Failure,8.399999999999977,6164.1,8605.199999999999
M,301.8,310.2,1437,42.3,0,No Failure,8.399999999999977,6365.4,0.0
M,301.7,310.1,1644,34.6,5,No Failure,8.400000000000034,5956.7,173.0
L,301.7,310.2,1471,51.1,8,No Failure,8.5,7871.6,408.8
L,301.7,310.1,2695,12.6,10,No Failure,8.400000000000034,3556.0,126.0
L,301.7,310.2,1435,48.1,12,No Failure,8.5,7228.1,577.2
L,301.6,310.1,1694,26.3,14,No Failure,8.5,4665.5,368.2
L,301.4,309.9,1259,63.9,20,Heat Dissipation Failure,8.5,8424.7,1278.0
H,301.4,309.9,1460,47.2,22,No Failure,8.5,7216.4,1038.4
L,301.4,310.0,1776,25.6,30,No Failure,8.600000000000023,4761.1,768.0
M,301.5,310.1,1468,40.8,32,No Failure,8.600000000000023,6272.1,1305.6
L,301.5,310.1,1430,46.5,35,No Failure,8.600000000000023,6963.3,1627.5
H,301.4,310.1,1623,32.3,39,No Failure,8.700000000000045,5489.7,1259.6999999999998
M,301.4,310.0,1651,29.8,44,No Failure,8.600000000000023,5152.2,1311.2
M,301.6,310.2,1411,45.1,54,No Failure,8.599999999999966,6664.0,2435.4
L,301.7,310.3,1397,44.6,57,No Failure,8.600000000000023,6524.7,2542.2000000000003
L,301.7,310.2,1686,28.9,59,No Failure,8.5,5102.5,1705.1
M,301.7,310.1,1431,44.0,61,No Failure,8.400000000000034,6593.6,2684.0
L,301.7,310.2,1486,43.0,66,No Failure,8.5,6691.4,2838.0
L,301.6,310.1,1362,55.8,70,Heat Dissipation Failure,8.5,7958.7,3906.0
H,301.7,310.1,1660,29.3,72,No Failure,8.400000000000034,5093.4,2109.6
L,301.6,310.1,1326,48.2,77,Heat Dissipation Failure,8.5,6693.0,3711.4
L,301.5,309.8,1549,38.5,81,No Failure,8.300000000000011,6245.1,3118.5
M,301.6,309.9,1746,31.1,83,No Failure,8.299999999999955,5686.3,2581.3
M,301.7,309.9,1452,41.5,86,No Failure,8.199999999999989,6310.2,3569.0
L,301.6,309.8,1588,33.9,89,No Failure,8.199999999999989,5637.4,3017.1
L,301.6,309.8,1472,42.5,91,No Failure,8.199999999999989,6551.3,3867.5
L,301.7,309.9,1607,37.7,93,No Failure,8.199999999999989,6344.3,3506.1000000000004
H,301.6,309.9,1423,53.6,95,No Failure,8.299999999999955,7987.3,5092.0
L,301.7,309.9,1524,46.6,104,No Failure,8.199999999999989,7437.0,4846.400000000001
L,301.7,309.8,1398,46.0,109,No Failure,8.100000000000023,6734.3,5014.0
H,301.8,309.9,1418,51.3,116,No Failure,8.099999999999966,7617.7,5950.799999999999
M,301.8,309.8,1546,39.8,121,No Failure,8.0,6443.5,4815.799999999999
L,301.9,309.7,1595,31.4,133,No Failure,7.800000000000011,5244.7,4176.2
M,301.9,309.7,1568,37.5,135,No Failure,7.800000000000011,6157.5,5062.5
L,301.8,309.6,1432,43.7,138,No Failure,7.800000000000011,6553.2,6030.6
L,301.9,309.7,1424,42.8,140,No Failure,7.800000000000011,6382.4,5992.0
M,302.0,309.7,1386,62.7,142,Power Failure,7.699999999999989,9100.4,8903.4
H,302.0,309.8,1280,57.3,147,Heat Dissipation Failure,7.800000000000011,7680.6,8423.1
L,302.0,309.8,1649,31.0,152,No Failure,7.800000000000011,5353.2,4712.0
L,302.0,309.9,1407,52.8,154,No Failure,7.899999999999977,7779.6,8131.2
H,302.0,309.9,1606,34.5,156,No Failure,7.899999999999977,5802.2,5382.0
M,302.1,310.0,1531,38.0,161,No Failure,7.899999999999977,6092.4,6118.0
L,302.1,310.1,1543,35.8,164,No Failure,8.0,5784.7,5871.2
L,302.1,310.1,1447,46.6,169,No Failure,8.0,7061.3,7875.400000000001
H,302.1,310.1,1615,29.9,176,No Failure,8.0,5056.8,5262.4
L,302.0,310.0,1449,48.8,181,No Failure,8.0,7404.9,8832.8
L,302.0,309.9,1388,51.4,183,No Failure,7.899999999999977,7471.0,9406.199999999999
H,302.0,309.9,1447,42.8,185,No Failure,7.899999999999977,6485.5,7917.999999999999
L,302.0,310.0,1664,28.6,190,No Failure,8.0,4983.7,5434.0
L,302.0,309.9,1308,57.6,197,Heat Dissipation Failure,7.899999999999977,7889.7,11347.2
L,302.0,309.8,1480,40.0,199,No Failure,7.800000000000011,6199.4,7960.0
M,301.9,309.7,1533,35.9,204,No Failure,7.800000000000011,5763.2,7323.599999999999
L,302.0,309.7,1551,34.8,207,No Failure,7.699999999999989,5652.2,7203.599999999999
M,301.8,309.5,1732,30.1,220,No Failure,7.699999999999989,5459.4,6622.0
L,301.8,309.5,1525,39.6,227,No Failure,7.699999999999989,6324.0,8989.2
L,301.8,309.6,1443,42.7,231,No Failure,7.800000000000011,6452.4,9863.7
L,301.8,309.7,1442,45.3,233,Tool Wear Failure,7.899999999999977,6840.6,10554.9
L,301.9,309.7,1719,31.9,0,No Failure,7.800000000000011,5742.4,0.0
M,302.1,310.0,1355,45.1,6,Heat Dissipation Failure,7.899999999999977,6399.5,270.6
M,302.2,310.1,1421,45.4,9,No Failure,7.900000000000034,6755.8,408.59999999999997
M,302.2,310.1,1368,51.6,12,Heat Dissipation Failure,7.900000000000034,7392.0,619.2
L,302.2,310.1,1458,45.1,15,No Failure,7.900000000000034,6885.9,676.5
M,302.2,310.1,1572,34.6,17,No Failure,7.900000000000034,5695.8,588.2
L,302.2,310.0,1483,48.7,20,No Failure,7.800000000000011,7563.1,974.0
H,302.3,310.1,1383,42.9,24,No Failure,7.800000000000011,6213.1,1029.6
L,302.4,310.2,1539,37.7,29,No Failure,7.800000000000011,6075.9,1093.3000000000002
L,302.3,310.1,1653,29.7,34,No Failure,7.800000000000011,5141.1,1009.8
L,302.3,310.1,1353,50.9,36,Heat Dissipation Failure,7.800000000000011,7211.8,1832.3999999999999
H,302.2,310.0,1468,43.6,38,No Failure,7.800000000000011,6702.6,1656.8
M,302.4,310.2,1485,45.9,50,No Failure,7.800000000000011,7137.9,2295.0
L,302.5,310.3,1326,58.5,55,Heat Dissipation Failure,7.800000000000011,8123.2,3217.5
L,302.3,310.2,1394,55.4,57,No Failure,7.899999999999977,8087.3,3157.7999999999997
L,302.4,310.1,2009,18.9,59,No Failure,7.7000000000000455,3976.2,1115.1
M,302.4,310.1,1358,54.6,61,Heat Dissipation Failure,7.7000000000000455,7764.6,3330.6
L,302.6,310.5,1450,43.2,68,No Failure,7.899999999999977,6559.6,2937.6000000000004
L,302.7,310.5,1520,39.3,73,No Failure,7.800000000000011,6255.5,2868.8999999999996
L,302.6,310.4,1514,42.7,75,No Failure,7.7999999999999545,6769.9,3202.5
M,302.6,310.4,1532,36.1,77,No Failure,7.7999999999999545,5791.5,2779.7000000000003
L,302.6,310.4,1365,66.8,80,Power Failure,7.7999999999999545,9548.6,5344.0
L,302.6,310.3,1642,33.2,82,No Failure,7.699999999999989,5708.7,2722.4
M,302.6,310.2,2676,10.8,84,Power Failure,7.599999999999966,3026.5,907.2
H,302.6,310.2,1873,21.3,87,No Failure,7.599999999999966,4177.8,1853.1000000000001
M,302.6,310.2,2157,17.2,94,No Failure,7.599999999999966,3885.1,1616.8
M,302.6,310.2,1563,39.0,97,No Failure,7.599999999999966,6383.4,3783.0
M,302.6,310.2,1631,31.0,100,No Failure,7.599999999999966,5294.7,3100.0
L,302.6,310.3,1479,40.4,105,No Failure,7.699999999999989,6257.2,4242.0
M,302.4,310.1,1379,48.9,107,Heat Dissipation Failure,7.7000000000000455,7061.6,5232.3
M,302.3,310.1,1731,33.4,112,No Failure,7.800000000000011,6054.4,3740.7999999999997
H,302.3,310.1,1688,30.4,115,No Failure,7.800000000000011,5373.7,3496.0
H,302.3,310.2,1443,54.6,120,No Failure,7.899999999999977,8250.6,6552.0
L,302.4,310.2,1445,46.4,125,No Failure,7.800000000000011,7021.3,5800.0
L,302.3,310.1,1321,52.7,134,Heat Dissipation Failure,7.800000000000011,7290.2,7061.8
M,302.4,310.1,1577,35.8,136,No Failure,7.7000000000000455,5912.1,4868.799999999999
L,302.4,310.1,1418,52.3,141,No Failure,7.7000000000000455,7766.2,7374.299999999999
M,302.4,310.2,1392,55.8,143,No Failure,7.800000000000011,8134.0,7979.4
L,302.5,310.3,1446,44.0,146,No Failure,7.800000000000011,6662.7,6424.0
L,302.5,310.2,1329,50.6,148,Heat Dissipation Failure,7.699999999999989,7042.1,7488.8
L,302.5,310.3,1405,57.4,152,No Failure,7.800000000000011,8445.3,8724.8
L,302.4,310.2,2224,16.0,154,No Failure,7.800000000000011,3726.3,2464.0
L,302.5,310.2,1716,29.9,156,No Failure,7.699999999999989,5373.0,4664.4
L,302.5,310.3,1584,35.5,158,No Failure,7.800000000000011,5888.6,5609.0
M,302.4,310.3,1378,54.3,165,Heat Dissipation Failure,7.900000000000034,7835.7,8959.5
L,302.5,310.3,1551,37.3,168,No Failure,7.800000000000011,6058.3,6266.4
M,302.5,310.3,1447,39.2,172,No Failure,7.800000000000011,5940.0,6742.400000000001
L,302.4,310.1,1401,48.8,177,No Failure,7.7000000000000455,7159.6,8637.6
L,302.3,310.1,1487,46.0,184,No Failure,7.800000000000011,7163.0,8464.0
M,302.5,310.3,1710,27.3,186,No Failure,7.800000000000011,4888.6,5077.8
L,302.6,310.4,1478,47.7,189,No Failure,7.7999999999999545,7382.8,9015.300000000001
L,302.6,310.5,1596,32.8,193,No Failure,7.899999999999977,5482.0,6330.4
L,302.7,310.5,1263,67.8,197,Heat Dissipation Failure,7.800000000000011,8967.3,13356.599999999999
L,302.8,310.6,2016,19.9,199,No Failure,7.800000000000011,4201.2,3960.1
L,302.8,310.6,1404,43.2,203,No Failure,7.800000000000011,6351.5,8769.6
L,302.7,310.5,1725,29.0,209,No Failure,7.800000000000011,5238.6,6061.0
L,302.7,310.5,1446,40.9,211,Tool Wear Failure,7.800000000000011,6193.3,8629.9
L,302.7,310.6,1564,34.3,0,No Failure,7.900000000000034,5617.7,0.0
L,302.7,310.5,1351,41.8,10,Heat Dissipation Failure,7.800000000000011,5913.7,418.0
L,302.6,310.3,1647,34.2,14,No Failure,7.699999999999989,5898.6,478.80000000000007
L,302.6,310.2,1923,21.5,18,No Failure,7.599999999999966,4329.6,387.0
H,302.7,310.4,1305,55.2,20,Heat Dissipation Failure,7.699999999999989,7543.6,1104.0
H,302.7,310.5,1568,36.9,28,No Failure,7.800000000000011,6059.0,1033.2
L,302.7,310.4,1489,42.7,33,No Failure,7.699999999999989,6658.1,1409.1000000000001
M,302.6,310.4,1451,43.1,35,No Failure,7.7999999999999545,6549.0,1508.5
L,302.7,310.4,1542,35.7,38,No Failure,7.699999999999989,5764.8,1356.6000000000001
L,302.5,310.5,1436,36.5,43,No Failure,8.0,5488.8,1569.5
L,302.5,310.4,1967,20.3,50,No Failure,7.899999999999977,4181.5,1015.0
H,302.6,310.4,1409,53.3,52,No Failure,7.7999999999999545,7864.4,2771.6
M,302.6,310.5,1420,56.4,57,No Failure,7.899999999999977,8386.8,3214.7999999999997
H,302.6,310.4,1649,30.1,62,No Failure,7.7999999999999545,5197.8,1866.2
L,302.6,310.4,1359,57.2,67,Heat Dissipation Failure,7.7999999999999545,8140.4,3832.4
L,302.5,310.3,1523,36.0,72,No Failure,7.800000000000011,5741.6,2592.0
H,302.6,310.3,1721,27.4,79,No Failure,7.699999999999989,4938.1,2164.6
L,302.4,310.2,1642,28.3,88,No Failure,7.800000000000011,4866.2,2490.4
L,302.4,310.1,1426,46.8,95,No Failure,7.7000000000000455,6988.7,4446.0
M,302.4,310.1,1520,36.6,97,No Failure,7.7000000000000455,5825.8,3550.2000000000003
L,302.4,310.1,1709,31.8,100,No Failure,7.7000000000000455,5691.1,3180.0
L,302.4,310.0,1426,46.6,102,No Failure,7.600000000000023,6958.8,4753.2
L,302.5,310.2,1454,43.0,108,No Failure,7.699999999999989,6547.3,4644.0
L,302.4,310.3,1900,24.4,113,No Failure,7.900000000000034,4854.8,2757.2
L,302.4,310.3,1479,36.2,115,No Failure,7.900000000000034,5606.7,4163.0
L,302.5,310.4,1415,48.2,117,No Failure,7.899999999999977,7142.2,5639.400000000001
L,302.4,310.3,1520,31.6,121,No Failure,7.900000000000034,5029.9,3823.6000000000004
L,302.4,310.3,1480,45.8,123,No Failure,7.900000000000034,7098.3,5633.4
L,302.4,310.4,1456,47.6,127,No Failure,8.0,7257.7,6045.2
L,302.5,310.4,1488,48.4,134,No Failure,7.899999999999977,7541.8,6485.599999999999
M,302.5,310.5,1527,38.8,136,No Failure,8.0,6204.4,5276.799999999999
M,302.4,310.4,1463,42.2,139,No Failure,8.0,6465.3,5865.8
L,302.4,310.4,1521,38.5,142,No Failure,8.0,6132.2,5467.0
L,302.5,310.4,1487,42.0,152,No Failure,7.899999999999977,6540.2,6384.0
L,302.5,310.5,1520,41.2,154,No Failure,8.0,6558.0,6344.8
H,302.5,310.4,1422,41.9,156,No Failure,7.899999999999977,6239.4,6536.4
M,302.4,310.3,1375,52.5,161,Heat Dissipation Failure,7.900000000000034,7559.5,8452.5
L,302.4,310.2,1633,28.0,164,No Failure,7.800000000000011,4788.2,4592.0
L,302.4,310.2,1351,45.1,168,Heat Dissipation Failure,7.800000000000011,6380.6,7576.8
L,302.4,310.3,1923,23.3,172,No Failure,7.900000000000034,4692.1,4007.6
L,302.5,310.3,1592,32.6,174,No Failure,7.800000000000011,5434.9,5672.400000000001
M,302.5,310.4,1580,35.6,176,No Failure,7.899999999999977,5890.3,6265.6
M,302.6,310.5,1542,39.9,184,No Failure,7.899999999999977,6443.0,7341.599999999999
L,302.5,310.4,1349,55.1,187,Heat Dissipation Failure,7.899999999999977,7783.8,10303.7
L,302.5,310.5,1463,43.0,189,No Failure,8.0,6587.8,8127.0
M,302.5,310.4,1429,43.2,191,No Failure,7.899999999999977,6464.6,8251.2
L,302.6,310.6,1549,37.5,199,No Failure,8.0,6082.9,7462.5
M,302.5,310.5,1507,40.2,201,No Failure,8.0,6344.1,8080.200000000001
M,302.6,310.5,1524,33.7,204,No Failure,7.899999999999977,5378.3,6874.8
M,302.7,310.5,1880,22.7,207,No Failure,7.800000000000011,4469.0,4698.9
L,302.6,310.5,1748,28.2,2,No Failure,7.899999999999977,5162.0,56.4
L,302.7,310.6,1690,26.7,4,No Failure,7.900000000000034,4725.3,106.8
L,302.7,310.7,1369,47.5,11,Heat Dissipation Failure,8.0,6809.7,522.5
H,302.7,310.8,1275,55.0,25,Heat Dissipation Failure,8.100000000000023,7343.5,1375.0
L,302.8,310.8,1402,50.5,30,No Failure,8.0,7414.3,1515.0
M,302.8,310.8,1451,44.7,32,No Failure,8.0,6792.1,1430.4
L,302.8,310.9,1312,52.2,40,Heat Dissipation Failure,8.099999999999966,7171.9,2088.0
M,302.9,311.0,1402,40.7,52,No Failure,8.100000000000023,5975.5,2116.4
M,302.9,311.1,1926,21.8,58,No Failure,8.200000000000045,4396.8,1264.4
L,303.0,311.2,1641,32.6,63,No Failure,8.199999999999989,5602.2,2053.8
L,303.0,311.2,1374,48.2,65,Heat Dissipation Failure,8.199999999999989,6935.3,3133.0
L,303.0,311.2,1494,37.0,67,No Failure,8.199999999999989,5788.7,2479.0
L,303.0,311.2,1601,32.9,69,No Failure,8.199999999999989,5515.9,2270.1
L,302.9,311.2,1634,36.9,71,No Failure,8.300000000000011,6314.0,2619.9
M,302.9,311.2,1467,37.7,73,No Failure,8.300000000000011,5791.6,2752.1000000000004
L,302.8,311.1,1563,32.2,78,No Failure,8.300000000000011,5270.4,2511.6000000000004
M,302.8,311.0,1507,33.4,82,No Failure,8.199999999999989,5270.9,2738.7999999999997
L,302.8,311.0,1564,38.5,85,No Failure,8.199999999999989,6305.6,3272.5
L,302.8,311.1,1721,30.0,87,No Failure,8.300000000000011,5406.7,2610.0
L,302.8,311.1,1456,36.1,89,No Failure,8.300000000000011,5504.2,3212.9
H,302.9,311.2,2102,17.8,91,No Failure,8.300000000000011,3918.2,1619.8
L,302.9,311.1,1555,33.9,96,No Failure,8.200000000000045,5520.2,3254.3999999999996
L,303.0,311.2,1409,41.9,98,No Failure,8.199999999999989,6182.4,4106.2
M,303.0,311.2,1387,41.4,100,No Failure,8.199999999999989,6013.2,4140.0
M,303.0,311.2,1460,43.9,103,No Failure,8.199999999999989,6711.9,4521.7
L,303.0,311.2,1361,47.6,106,Heat Dissipation Failure,8.199999999999989,6784.1,5045.6
L,303.1,311.2,1399,49.2,111,No Failure,8.099999999999966,7207.9,5461.200000000001
L,303.1,311.1,1420,55.8,113,No Failure,8.0,8297.6,6305.4
L,303.0,311.0,1359,44.2,115,Heat Dissipation Failure,8.0,6290.3,5083.0
M,303.0,311.0,1409,41.7,120,No Failure,8.0,6152.8,5004.0
L,302.9,311.0,1820,24.6,128,No Failure,8.100000000000023,4688.5,3148.8
H,302.9,311.0,1469,48.7,130,No Failure,8.100000000000023,7491.7,6331.0
L,302.9,311.1,1556,45.3,135,No Failure,8.200000000000045,7381.4,6115.5
L,303.0,311.1,1980,20.2,137,No Failure,8.100000000000023,4188.4,2767.4
M,303.0,311.2,1519,38.0,139,No Failure,8.199999999999989,6044.6,5282.0
L,303.0,311.2,1456,44.0,142,No Failure,8.199999999999989,6708.8,6248.0
L,303.1,311.2,1394,45.3,144,No Failure,8.099999999999966,6612.9,6523.2
L,303.0,311.3,1365,56.2,146,Heat Dissipation Failure,8.300000000000011,8033.4,8205.2
L,303.0,311.3,2194,16.5,148,No Failure,8.300000000000011,3791.0,2442.0
L,303.1,311.3,1403,55.6,150,No Failure,8.199999999999989,8168.9,8340.0
L,303.0,311.3,1793,29.3,157,No Failure,8.300000000000011,5501.4,4600.1
L,303.1,311.4,1829,24.5,159,No Failure,8.299999999999955,4692.5,3895.5
M,303.0,311.3,1335,53.6,164,Heat Dissipation Failure,8.300000000000011,7493.3,8790.4
H,303.1,311.3,2056,19.7,167,No Failure,8.199999999999989,4241.5,3289.9
L,303.0,311.2,1341,51.0,174,Heat Dissipation Failure,8.199999999999989,7161.9,8874.0
M,303.0,311.1,1526,37.3,176,No Failure,8.100000000000023,5960.6,6564.799999999999
L,303.0,311.1,1525,40.7,179,No Failure,8.100000000000023,6499.7,7285.3
M,303.0,311.1,1428,39.8,181,No Failure,8.100000000000023,5951.7,7203.799999999999
L,303.0,311.2,1511,45.7,184,No Failure,8.199999999999989,7231.2,8408.800000000001
L,303.0,311.2,1664,29.8,186,No Failure,8.199999999999989,5192.8,5542.8
M,303.0,311.2,1592,38.9,188,No Failure,8.199999999999989,6485.2,7313.2
L,303.0,311.2,1735,26.1,194,No Failure,8.199999999999989,4742.1,5063.400000000001
L,302.9,311.2,1751,23.8,196,No Failure,8.300000000000011,4364.1,4664.8
M,302.9,311.2,1330,53.7,200,Heat Dissipation Failure,8.300000000000011,7479.2,10740.0
L,303.0,311.2,1382,50.5,203,No Failure,8.199999999999989,7308.5,10251.5
L,303.0,311.2,1755,30.4,205,No Failure,8.199999999999989,5587.0,6232.0
M,303.0,311.2,1614,35.7,207,No Failure,8.199999999999989,6033.9,7389.900000000001
L,303.1,311.3,1657,31.8,217,No Failure,8.199999999999989,5518.0,6900.6
L,303.1,311.2,1435,40.1,219,No Failure,8.099999999999966,6025.9,8781.9
H,303.1,311.3,1494,42.7,221,No Failure,8.199999999999989,6680.5,9436.7
L,303.2,311.4,1324,54.2,228,Heat Dissipation Failure,8.199999999999989,7514.8,12357.6
L,303.2,311.4,1514,41.2,230,No Failure,8.199999999999989,6532.1,9476.0
L,303.3,311.4,1732,25.6,232,No Failure,8.099999999999966,4643.2,5939.200000000001
L,303.3,311.4,1958,21.5,0,No Failure,8.099999999999966,4408.4,0.0
L,303.3,311.4,1630,32.5,2,No Failure,8.099999999999966,5547.5,65.0
M,303.3,311.4,1395,59.1,4,No Failure,8.099999999999966,8633.6,236.4
L,303.2,311.4,1349,51.1,9,Heat Dissipation Failure,8.199999999999989,7218.7,459.90000000000003
L,303.1,311.1,1854,22.6,19,No Failure,8.0,4387.8,429.40000000000003
L,303.1,311.2,1626,32.3,21,No Failure,8.099999999999966,5499.9,678.3
L,303.1,311.2,1628,35.2,23,No Failure,8.099999999999966,6001.0,809.6
M,303.1,311.2,1489,44.5,27,No Failure,8.099999999999966,6938.8,1201.5
L,303.2,311.2,1439,43.9,30,No Failure,8.0,6615.4,1317.0
H,303.3,311.2,1607,31.7,34,No Failure,7.899999999999977,5334.6,1077.8
L,303.3,311.3,1389,53.9,39,No Failure,8.0,7840.1,2102.1
M,303.3,311.3,1566,46.1,41,No Failure,8.0,7560.0,1890.1000000000001
M,303.3,311.5,1569,36.6,47,No Failure,8.199999999999989,6013.6,1720.2
H,303.3,311.4,1651,30.6,50,No Failure,8.099999999999966,5290.5,1530.0
L,303.3,311.4,1511,43.4,65,No Failure,8.099999999999966,6867.2,2821.0
L,303.4,311.5,1501,36.2,69,No Failure,8.100000000000023,5690.1,2497.8
H,303.5,311.5,1629,33.5,73,No Failure,8.0,5714.7,2445.5
H,303.5,311.6,1466,47.0,80,No Failure,8.100000000000023,7215.4,3760.0
L,303.6,311.8,1695,30.7,90,No Failure,8.199999999999989,5449.2,2763.0
M,303.6,311.8,1659,34.7,94,No Failure,8.199999999999989,6028.4,3261.8
L,303.6,311.8,1567,31.7,97,No Failure,8.199999999999989,5201.8,3074.9
L,303.6,311.8,1736,32.9,99,No Failure,8.199999999999989,5981.0,3257.1
M,303.6,311.8,1421,44.8,101,No Failure,8.199999999999989,6666.5,4524.799999999999
M,303.6,311.8,1627,30.8,104,No Failure,8.199999999999989,5247.7,3203.2000000000003
L,303.5,311.6,2183,17.0,110,No Failure,8.100000000000023,3886.3,1870.0
M,303.4,311.5,1560,36.4,114,No Failure,8.100000000000023,5946.4,4149.599999999999
M,303.4,311.5,1483,43.0,117,No Failure,8.100000000000023,6677.9,5031.0
M,303.4,311.5,1817,24.7,125,No Failure,8.100000000000023,4699.8,3087.5
L,303.4,311.5,1424,50.8,128,No Failure,8.100000000000023,7575.3,6502.4
L,303.3,311.6,1514,34.7,130,No Failure,8.300000000000011,5501.5,4511.0
M,303.5,311.6,1573,34.0,134,No Failure,8.100000000000023,5600.6,4556.0
L,303.4,311.6,1564,41.9,137,No Failure,8.200000000000045,6862.5,5740.3
L,303.5,311.6,1428,46.2,139,No Failure,8.100000000000023,6908.7,6421.8
L,303.5,311.7,1620,31.0,141,No Failure,8.199999999999989,5259.0,4371.0
H,303.5,311.7,1584,32.7,143,No Failure,8.199999999999989,5424.1,4676.1
M,303.6,311.8,1432,42.5,150,No Failure,8.199999999999989,6373.2,6375.0
L,303.6,311.8,1614,33.2,155,No Failure,8.199999999999989,5611.4,5146.0
L,303.5,311.7,1959,22.3,157,No Failure,8.199999999999989,4574.8,3501.1
L,303.5,311.8,1944,23.5,159,No Failure,8.300000000000011,4784.0,3736.5
L,303.4,311.7,1793,25.8,161,No Failure,8.300000000000011,4844.3,4153.8
M,303.4,311.6,1446,50.0,163,No Failure,8.200000000000045,7571.2,8150.0
L,303.4,311.7,1673,32.2,166,No Failure,8.300000000000011,5641.3,5345.200000000001
M,303.4,311.7,1515,44.2,168,No Failure,8.300000000000011,7012.3,7425.6
L,303.4,311.8,1564,35.9,171,No Failure,8.400000000000034,5879.8,6138.9
L,303.5,311.8,1451,45.2,173,No Failure,8.300000000000011,6868.1,7819.6
H,303.4,311.8,1693,28.3,175,No Failure,8.400000000000034,5017.3,4952.5
L,303.4,311.6,1712,30.1,182,No Failure,8.200000000000045,5396.3,5478.2
M,303.4,311.6,1425,45.4,184,No Failure,8.200000000000045,6774.8,8353.6
L,303.3,311.6,1337,56.8,187,Heat Dissipation Failure,8.300000000000011,7952.6,10621.6
M,303.4,311.7,1690,34.9,189,No Failure,8.300000000000011,6176.5,6596.099999999999
M,303.4,311.7,1353,44.1,192,Heat Dissipation Failure,8.300000000000011,6248.3,8467.2
L,303.5,311.8,1927,21.9,195,No Failure,8.300000000000011,4419.3,4270.5
M,303.4,311.8,1391,42.7,197,No Failure,8.400000000000034,6219.9,8411.900000000001
L,303.4,311.8,1366,50.9,200,Heat Dissipation Failure,8.400000000000034,7281.1,10180.0
M,303.4,311.8,1341,47.0,210,Heat Dissipation Failure,8.400000000000034,6600.2,9870.0
L,303.4,311.7,1406,47.1,213,No Failure,8.300000000000011,6934.8,10032.300000000001
L,303.4,311.8,1306,61.0,215,Heat Dissipation Failure,8.400000000000034,8342.6,13115.0
L,303.3,311.6,1301,45.1,219,Heat Dissipation Failure,8.300000000000011,6144.4,9876.9
L,303.3,311.7,1539,38.5,221,No Failure,8.399999999999977,6204.8,8508.5
L,303.3,311.6,1484,44.6,223,No Failure,8.300000000000011,6931.0,9945.800000000001
L,303.2,311.5,1507,39.2,225,No Failure,8.300000000000011,6186.3,8820.0
L,303.2,311.5,1544,42.5,227,No Failure,8.300000000000011,6871.7,9647.5
L,303.2,311.5,1513,37.9,0,No Failure,8.300000000000011,6004.9,0.0
M,303.2,311.5,1336,58.2,2,Heat Dissipation Failure,8.300000000000011,8142.5,116.4
M,303.2,311.4,2102,19.0,5,No Failure,8.199999999999989,4182.3,95.0
L,303.2,311.4,1351,53.8,8,Heat Dissipation Failure,8.199999999999989,7611.4,430.4
L,303.3,311.5,1601,35.2,10,No Failure,8.199999999999989,5901.5,352.0
L,303.2,311.3,1393,52.9,12,No Failure,8.100000000000023,7716.8,634.8
L,303.3,311.3,1409,51.8,16,No Failure,8.0,7643.1,828.8
L,303.3,311.3,1393,47.4,18,No Failure,8.0,6914.5,853.1999999999999
H,303.2,311.2,1475,43.1,20,No Failure,8.0,6657.3,862.0
L,303.3,311.2,1763,27.3,27,No Failure,7.899999999999977,5040.2,737.1
L,303.2,311.2,1363,46.7,29,Heat Dissipation Failure,8.0,6665.6,1354.3000000000002
L,303.2,311.2,1404,50.9,31,No Failure,8.0,7483.7,1577.8999999999999
L,303.3,311.4,1510,37.3,36,No Failure,8.099999999999966,5898.1,1342.8
H,303.2,311.4,1607,36.6,43,No Failure,8.199999999999989,6159.2,1573.8
L,303.4,311.7,1295,51.3,51,Heat Dissipation Failure,8.300000000000011,6956.9,2616.2999999999997
H,303.4,311.7,1991,19.0,53,No Failure,8.300000000000011,3961.4,1007.0
L,303.4,311.6,1497,42.8,58,No Failure,8.200000000000045,6709.6,2482.3999999999996
L,303.5,311.6,1465,48.7,60,No Failure,8.100000000000023,7471.3,2922.0
H,303.7,311.9,1332,52.7,66,Heat Dissipation Failure,8.199999999999989,7350.9,3478.2000000000003
M,303.7,312.0,2663,11.4,71,Power Failure,8.300000000000011,3179.1,809.4
L,303.7,312.1,1443,45.9,74,No Failure,8.400000000000034,6936.0,3396.6
L,303.7,312.0,1892,22.5,79,No Failure,8.300000000000011,4457.9,1777.5
L,303.6,311.9,1473,50.1,84,No Failure,8.299999999999955,7728.0,4208.400000000001
H,303.6,311.9,1544,37.1,88,No Failure,8.299999999999955,5998.6,3264.8
M,303.6,311.9,1617,36.0,95,No Failure,8.299999999999955,6095.9,3420.0
M,303.6,312.0,1435,37.9,98,No Failure,8.399999999999977,5695.3,3714.2
