type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_air_process,power_W,wear_x_torque_minNm
L,299.7,309.6,1399,51.3,144,9.900000000000034,7515.6,7387.2
L,300.7,311.0,1318,48.2,128,10.300000000000011,6652.6,6169.6
L,297.9,309.1,1521,36.1,15,11.200000000000045,5750.0,541.5
M,298.1,307.8,1608,32.6,57,9.699999999999989,5489.5,1858.2
L,301.5,310.4,1425,54.4,7,8.899999999999977,8117.9,380.8
L,297.3,308.0,1447,49.0,61,10.699999999999989,7424.9,2989.0
M,296.6,307.5,1734,27.0,50,10.899999999999977,4902.8,1350.0
H,301.0,311.0,1640,37.6,118,10.0,6457.4,4436.8
L,299.2,310.6,1534,39.7,83,11.400000000000034,6377.4,3295.1000000000004
M,304.0,313.1,1694,31.4,116,9.100000000000023,5570.2,3642.3999999999996
L,301.4,310.7,1590,36.3,43,9.300000000000011,6044.1,1560.8999999999999
L,301.2,309.9,1515,40.9,21,8.699999999999989,6488.8,858.9
L,298.7,309.0,1691,30.1,154,10.300000000000011,5330.1,4635.400000000001
H,298.4,308.2,1478,43.5,206,9.800000000000011,6732.7,8961.0
H,298.8,310.2,1455,44.9,107,11.399999999999977,6841.3,4804.3
M,301.1,311.6,1266,55.5,210,10.5,7357.9,11655.0
M,299.3,308.9,1858,24.7,101,9.599999999999966,4805.9,2494.7
L,297.8,308.3,1498,47.3,160,10.5,7420.0,7568.0
L,300.8,309.7,1418,46.6,12,8.899999999999977,6919.8,559.2
L,295.7,306.1,1343,54.4,119,10.400000000000034,7650.7,6473.599999999999
M,300.2,309.6,1491,41.8,41,9.400000000000034,6526.5,1713.8
H,301.5,310.8,1591,29.6,33,9.300000000000011,4931.6,976.8000000000001
M,299.8,309.7,1556,37.7,124,9.899999999999977,6143.0,4674.8
M,298.9,308.5,1534,42.9,121,9.600000000000023,6891.5,5190.9
M,302.2,311.7,1576,34.0,28,9.5,5611.3,952.0
M,297.2,308.3,1604,39.4,9,11.100000000000023,6618.0,354.59999999999997
L,299.7,309.1,1417,50.1,187,9.400000000000034,7434.2,9368.7
H,297.6,308.7,1659,32.1,49,11.099999999999966,5576.7,1572.9
M,298.8,309.1,1559,34.7,95,10.300000000000011,5665.1,3296.5000000000005
M,301.9,310.7,1511,37.6,70,8.800000000000011,5949.5,2632.0
L,300.8,311.4,1536,40.9,22,10.599999999999966,6578.7,899.8
L,299.9,309.4,1363,60.9,57,9.5,8692.4,3471.2999999999997
L,301.0,310.4,2204,16.6,175,9.399999999999977,3831.3,2905.0000000000005
M,298.7,310.3,1481,41.5,83,11.600000000000023,6436.2,3444.5
L,301.3,310.6,1440,53.8,90,9.300000000000011,8112.8,4842.0
L,299.1,310.6,1326,49.7,78,11.5,6901.3,3876.6000000000004
M,301.6,311.2,1415,46.5,82,9.599999999999966,6890.3,3813.0
M,296.7,307.8,1375,51.4,108,11.100000000000023,7401.1,5551.2
M,301.9,311.0,1432,41.5,51,9.100000000000023,6223.3,2116.5
L,295.6,306.2,1426,48.6,124,10.599999999999966,7257.5,6026.400000000001
M,304.1,313.3,1494,39.0,49,9.199999999999989,6101.6,1911.0
L,301.0,311.0,1437,56.0,33,10.0,8427.0,1848.0
M,302.5,311.1,1638,32.0,198,8.600000000000023,5489.0,6336.0
L,302.3,310.7,1499,37.8,137,8.399999999999977,5933.7,5178.599999999999
L,298.8,309.8,1490,40.6,124,11.0,6334.9,5034.400000000001
L,303.3,312.6,1623,34.6,102,9.300000000000011,5880.6,3529.2000000000003
L,300.7,312.3,1898,24.0,60,11.600000000000023,4770.2,1440.0
L,300.4,310.4,1486,46.3,48,10.0,7204.9,2222.3999999999996
L,303.9,313.2,1499,37.4,7,9.300000000000011,5870.9,261.8
L,300.9,310.8,1493,45.8,57,9.900000000000034,7160.7,2610.6
L,299.1,310.6,1796,26.0,90,11.5,4890.0,2340.0
L,298.2,307.5,1470,51.3,180,9.300000000000011,7897.0,9234.0
L,299.3,308.7,1484,40.5,213,9.399999999999977,6293.9,8626.5
L,300.9,310.4,1541,39.1,17,9.5,6309.7,664.7
L,300.4,311.2,1351,62.0,18,10.800000000000011,8771.5,1116.0
L,303.5,313.0,1465,41.0,56,9.5,6290.0,2296.0
M,302.3,311.6,1668,33.2,52,9.300000000000011,5799.1,1726.4
M,301.3,310.4,1501,39.8,187,9.099999999999966,6255.9,7442.599999999999
M,297.5,308.1,1480,42.4,112,10.600000000000023,6571.4,4748.8
L,297.5,308.5,1597,36.4,112,11.0,6087.4,4076.7999999999997
M,301.7,310.8,1954,21.6,198,9.100000000000023,4419.8,4276.8
L,300.2,310.2,1530,48.5,15,10.0,7770.7,727.5
L,300.4,309.7,1488,35.7,177,9.300000000000011,5562.9,6318.900000000001
M,303.1,311.3,1847,24.7,212,8.199999999999989,4777.4,5236.4
M,299.1,310.5,1428,43.0,53,11.399999999999977,6430.2,2279.0
M,301.6,310.6,1924,23.6,181,9.0,4754.9,4271.6
L,302.6,310.4,1638,36.2,84,7.7999999999999545,6209.4,3040.8
H,302.2,310.7,1413,48.9,114,8.5,7235.7,5574.599999999999
L,301.1,312.3,1595,31.9,134,11.199999999999989,5328.2,4274.599999999999
L,297.9,307.6,1481,38.0,40,9.700000000000045,5893.4,1520.0
H,298.8,308.5,1359,47.6,85,9.699999999999989,6774.2,4046.0
H,299.9,309.6,1462,51.0,119,9.700000000000045,7808.1,6069.0
L,299.0,308.6,1297,54.2,110,9.600000000000023,7361.5,5962.0
M,298.3,308.1,1630,32.7,83,9.800000000000011,5581.7,2714.1000000000004
L,297.6,308.6,1744,28.5,42,11.0,5205.0,1197.0
M,298.7,309.8,1528,36.7,197,11.100000000000023,5872.4,7229.900000000001
L,302.8,312.3,1504,40.3,204,9.5,6347.2,8221.199999999999
L,300.3,309.3,1612,36.0,158,9.0,6077.1,5688.0
L,302.8,310.9,1636,35.0,38,8.099999999999966,5996.3,1330.0
L,302.3,311.7,1510,38.7,141,9.399999999999977,6119.5,5456.700000000001
L,302.6,311.0,1520,42.8,148,8.399999999999977,6812.6,6334.4
M,298.0,307.5,1784,27.8,163,9.5,5193.6,4531.400000000001
L,297.6,308.6,1351,51.0,37,11.0,7215.3,1887.0
L,301.3,310.3,1560,36.3,129,9.0,5930.1,4682.7
L,300.5,311.4,1400,45.1,29,10.899999999999977,6612.0,1307.9
M,300.9,310.9,1636,35.3,153,10.0,6047.6,5400.9
H,300.9,310.7,1656,30.7,200,9.800000000000011,5323.9,6140.0
L,304.0,313.0,1541,45.9,64,9.0,7407.0,2937.6
L,302.7,310.7,1398,57.7,19,8.0,8447.2,1096.3
M,302.7,312.0,1538,36.7,74,9.300000000000011,5910.9,2715.8
L,302.0,310.7,1698,28.1,39,8.699999999999989,4996.6,1095.9
M,300.7,309.6,1525,36.5,71,8.900000000000034,5829.0,2591.5
L,299.3,308.7,1579,36.3,211,9.399999999999977,6002.3,7659.299999999999
M,300.1,309.6,1622,36.1,43,9.5,6131.8,1552.3
L,298.1,308.1,1410,45.8,71,10.0,6762.6,3251.7999999999997
M,298.8,310.3,1528,37.1,99,11.5,5936.4,3672.9
M,298.4,309.2,1414,46.4,128,10.800000000000011,6870.6,5939.2
M,300.4,311.6,1518,36.4,53,11.200000000000045,5786.3,1929.1999999999998
L,303.9,312.7,1789,24.4,163,8.800000000000011,4571.2,3977.2
L,297.9,307.6,1550,39.0,35,9.700000000000045,6330.3,1365.0
L,302.3,312.0,1398,43.3,171,9.699999999999989,6339.0,7404.299999999999
M,300.4,309.7,1685,32.3,167,9.300000000000011,5699.4,5394.099999999999
L,297.5,309.0,1470,43.5,191,11.5,6696.3,8308.5
M,303.6,312.8,1400,43.2,23,9.199999999999989,6333.5,993.6
L,301.7,310.6,1406,46.0,112,8.900000000000034,6772.9,5152.0
L,296.6,308.0,1978,22.3,208,11.399999999999977,4619.1,4638.400000000001
L,300.9,311.6,1671,33.5,148,10.700000000000045,5862.1,4958.0
M,297.4,308.7,1382,49.9,151,11.300000000000011,7221.7,7534.9
L,297.4,309.2,1584,42.8,186,11.800000000000011,7099.5,7960.799999999999
L,298.5,309.3,1630,33.3,116,10.800000000000011,5684.1,3862.7999999999997
L,302.1,311.4,1549,44.6,31,9.299999999999955,7234.6,1382.6000000000001
M,302.3,311.7,1453,42.5,56,9.399999999999977,6466.7,2380.0
L,301.0,312.3,1488,42.6,107,11.300000000000011,6638.1,4558.2
M,298.2,309.2,1524,34.6,161,11.0,5521.9,5570.6
M,300.7,310.1,1483,40.2,162,9.400000000000034,6243.0,6512.400000000001
L,302.8,312.2,1515,36.8,162,9.399999999999977,5838.3,5961.599999999999
L,300.6,311.7,1448,49.1,206,11.099999999999966,7445.2,10114.6
H,297.0,308.1,1410,47.6,79,11.100000000000023,7028.4,3760.4
L,302.5,310.8,1577,36.9,158,8.300000000000011,6093.8,5830.2
M,298.6,309.5,1426,45.4,38,10.899999999999977,6779.6,1725.2
L,298.5,309.6,1585,32.2,89,11.100000000000023,5344.6,2865.8
H,298.9,309.9,1376,51.0,32,11.0,7348.8,1632.0
L,297.6,308.4,1460,40.3,195,10.799999999999955,6161.5,7858.499999999999
M,297.4,308.6,1434,44.4,193,11.200000000000045,6667.5,8569.199999999999
L,299.7,310.3,1386,46.6,2,10.600000000000023,6763.6,93.2
L,299.3,308.8,1550,45.8,170,9.5,7434.1,7785.999999999999
L,302.6,312.1,1344,51.0,206,9.5,7177.9,10506.0
M,298.2,308.7,1599,36.2,28,10.5,6061.6,1013.6000000000001
L,300.8,310.8,1407,45.1,51,10.0,6645.1,2300.1
L,303.6,312.6,1699,27.9,160,9.0,4963.9,4464.0
L,298.2,309.1,1539,36.5,134,10.900000000000034,5882.5,4891.0
L,296.7,307.8,1453,46.0,33,11.100000000000023,6999.3,1518.0
L,302.9,312.4,2030,19.1,192,9.5,4060.3,3667.2000000000003
L,297.3,308.2,1896,24.4,47,10.899999999999977,4844.6,1146.8
M,298.7,309.4,1375,48.3,157,10.699999999999989,6954.7,7583.099999999999
M,301.8,310.7,1383,45.7,44,8.899999999999977,6618.6,2010.8000000000002
M,299.7,308.9,1551,35.4,82,9.199999999999989,5749.7,2902.7999999999997
L,302.5,310.2,1586,32.2,64,7.699999999999989,5348.0,2060.8
M,298.3,309.1,1404,47.0,15,10.800000000000011,6910.2,705.0
L,303.8,312.8,1503,40.0,154,9.0,6295.8,6160.0
H,299.8,309.7,1368,47.4,148,9.899999999999977,6790.4,7015.2
M,298.1,309.1,1572,37.5,126,11.0,6173.2,4725.0
M,299.1,310.3,1838,24.0,235,11.199999999999989,4619.4,5640.0
L,298.0,307.7,1442,43.6,148,9.699999999999989,6583.9,6452.8
L,297.6,308.8,1475,43.0,119,11.199999999999989,6641.9,5117.0
M,300.5,311.4,1743,27.6,46,10.899999999999977,5037.7,1269.6000000000001
L,299.1,310.4,1519,45.3,92,11.299999999999955,7205.8,4167.599999999999
L,299.6,311.0,1552,33.2,139,11.399999999999977,5395.8,4614.8
L,298.5,308.2,1595,32.3,46,9.699999999999989,5395.0,1485.8
M,303.5,312.8,1375,45.7,89,9.300000000000011,6580.3,4067.3
L,298.6,309.6,1540,35.8,5,11.0,5773.4,179.0
M,298.2,309.0,1446,45.8,80,10.800000000000011,6935.3,3664.0
H,298.0,308.1,1440,43.7,37,10.100000000000023,6589.8,1616.9
M,298.9,310.1,1442,42.9,153,11.200000000000045,6478.2,6563.7
L,302.5,310.4,1487,40.2,48,7.899999999999977,6259.9,1929.6000000000001
L,298.3,308.5,1539,36.1,168,10.199999999999989,5818.0,6064.8
M,298.5,309.3,1615,31.8,23,10.800000000000011,5378.1,731.4
L,297.5,309.6,1312,50.7,0,12.100000000000023,6965.8,0.0
L,300.1,311.5,1434,40.8,80,11.399999999999977,6126.9,3264.0
L,299.3,309.0,1734,30.6,154,9.699999999999989,5556.5,4712.400000000001
M,297.4,308.4,1478,46.2,95,11.0,7150.6,4389.0
L,299.0,309.4,1758,25.7,68,10.399999999999977,4731.3,1747.6
M,301.7,309.9,1533,40.9,106,8.199999999999989,6565.9,4335.4
L,299.4,308.9,1583,34.1,176,9.5,5652.8,6001.6
M,298.2,309.0,1723,26.6,168,10.800000000000011,4799.5,4468.8
L,301.5,310.1,1639,33.4,47,8.600000000000023,5732.6,1569.8
M,295.6,306.1,1490,42.7,171,10.5,6662.6,7301.700000000001
L,303.5,312.1,1674,30.8,0,8.600000000000023,5399.3,0.0
H,302.6,310.4,1614,36.0,74,7.7999999999999545,6084.6,2664.0
L,304.3,313.5,1590,29.8,17,9.199999999999989,4961.8,506.6
H,298.0,309.4,1490,40.5,53,11.399999999999977,6319.3,2146.5
L,301.9,310.5,1477,42.4,128,8.600000000000023,6558.1,5427.2
L,297.6,308.3,1742,27.7,13,10.699999999999989,5053.1,360.09999999999997
L,301.7,311.3,1348,51.0,87,9.600000000000023,7199.3,4437.0
L,298.5,308.6,1522,36.9,53,10.100000000000023,5881.2,1955.6999999999998
H,296.7,307.5,1607,33.6,38,10.800000000000011,5654.4,1276.8
M,297.6,308.6,1444,48.2,46,11.0,7288.6,2217.2000000000003
H,302.3,311.4,1443,44.1,51,9.099999999999966,6664.0,2249.1
M,299.8,309.6,1434,48.0,82,9.800000000000011,7208.1,3936.0
M,298.0,309.0,1439,38.5,34,11.0,5801.6,1309.0
H,302.3,311.7,1482,39.0,127,9.399999999999977,6052.6,4953.0
L,300.4,312.0,1366,43.0,117,11.600000000000023,6151.0,5031.0
L,300.3,310.3,1629,34.1,52,10.0,5817.1,1773.2
M,298.3,309.1,1488,40.6,176,10.800000000000011,6326.4,7145.6
M,300.8,311.2,1365,51.7,111,10.399999999999977,7390.1,5738.700000000001
L,297.2,308.5,2182,16.5,127,11.300000000000011,3770.2,2095.5
H,298.8,310.5,1294,55.8,202,11.699999999999989,7561.3,11271.599999999999
M,303.7,312.0,1402,48.6,76,8.300000000000011,7135.3,3693.6
M,304.2,313.4,1411,54.8,44,9.199999999999989,8097.2,2411.2
M,297.0,308.1,1355,51.4,76,11.100000000000023,7293.4,3906.4
L,298.8,308.2,1443,53.4,21,9.399999999999977,8069.3,1121.3999999999999
H,299.2,308.8,1908,21.3,104,9.600000000000023,4255.9,2215.2000000000003
L,301.0,311.2,1363,46.3,62,10.199999999999989,6608.5,2870.6
L,301.0,312.2,1372,47.0,59,11.199999999999989,6752.7,2773.0
L,298.4,309.6,1710,27.3,163,11.200000000000045,4888.6,4449.900000000001
L,303.3,311.7,1508,35.5,217,8.399999999999977,5606.1,7703.5
M,301.6,310.6,1599,36.1,208,9.0,6044.8,7508.8
L,297.3,308.5,1764,30.8,148,11.199999999999989,5689.5,4558.400000000001
L,300.3,311.8,1508,43.1,57,11.5,6806.2,2456.7000000000003
L,299.6,310.2,1333,51.2,40,10.599999999999966,7147.1,2048.0
L,303.7,312.7,1468,43.3,168,9.0,6656.4,7274.4
M,300.6,311.4,1468,40.4,55,10.799999999999955,6210.6,2222.0
L,301.2,310.3,1451,39.7,123,9.100000000000023,6032.4,4883.1
L,300.7,311.0,1312,52.1,107,10.300000000000011,7158.1,5574.7
L,297.5,308.5,1335,48.0,131,11.0,6710.4,6288.0
L,297.1,307.8,1636,30.3,90,10.699999999999989,5191.0,2727.0
L,297.1,308.7,1474,42.3,64,11.599999999999966,6529.3,2707.2
L,300.5,311.0,2074,18.9,9,10.5,4104.9,170.1
M,304.2,313.4,1329,54.5,75,9.199999999999989,7584.9,4087.5
L,298.8,309.9,1428,42.4,132,11.099999999999966,6340.5,5596.8
L,297.1,308.5,1555,36.2,0,11.399999999999977,5894.8,0.0
L,299.5,310.0,1379,50.4,85,10.5,7278.2,4284.0
L,302.2,311.4,1390,48.1,40,9.199999999999989,7001.5,1924.0
L,297.5,308.3,1585,32.9,32,10.800000000000011,5460.8,1052.8
M,298.0,308.1,1587,32.3,30,10.100000000000023,5367.9,968.9999999999999
H,300.9,311.9,2140,16.5,43,11.0,3697.7,709.5
L,298.0,308.0,1401,54.7,65,10.0,8025.2,3555.5
M,299.1,310.2,1711,28.1,17,11.099999999999966,5034.8,477.70000000000005
L,297.1,308.2,1347,50.8,49,11.099999999999966,7165.7,2489.2
M,298.0,309.9,1565,33.9,40,11.899999999999977,5555.7,1356.0
L,298.2,309.0,1596,37.2,87,10.800000000000011,6217.3,3236.4
L,300.2,310.2,1600,31.5,23,10.0,5277.9,724.5
L,296.9,307.8,1557,38.1,135,10.900000000000034,6212.2,5143.5
L,301.1,311.1,1711,29.1,170,10.0,5214.0,4947.0
M,295.6,306.2,1584,33.6,81,10.599999999999966,5573.4,2721.6
L,303.6,312.9,1480,41.4,135,9.299999999999955,6416.4,5589.0
L,304.0,313.1,1564,50.9,119,9.100000000000023,8336.5,6057.099999999999
L,299.5,310.8,1873,22.3,211,11.300000000000011,4373.9,4705.3
L,300.1,309.4,1560,47.7,26,9.299999999999955,7792.4,1240.2
L,298.0,308.2,1620,35.8,5,10.199999999999989,6073.3,179.0
L,297.7,308.4,1740,27.1,136,10.699999999999989,4938.0,3685.6000000000004
L,298.4,309.3,1545,36.9,3,10.900000000000034,5970.1,110.69999999999999
L,299.2,308.9,1430,39.1,117,9.699999999999989,5855.2,4574.7
M,300.7,310.9,1468,41.8,112,10.199999999999989,6425.9,4681.599999999999
L,297.9,309.8,1461,50.5,38,11.900000000000034,7726.3,1919.0
M,296.8,307.9,1418,47.9,127,11.099999999999966,7112.8,6083.3
L,301.5,310.6,1405,42.3,83,9.100000000000023,6223.7,3510.8999999999996
L,298.2,308.8,1362,57.3,28,10.600000000000023,8172.6,1604.3999999999999
L,298.3,308.8,1454,49.0,166,10.5,7460.9,8134.0
M,299.2,309.1,1503,34.7,6,9.900000000000034,5461.6,208.20000000000002
H,301.6,310.6,1555,40.4,139,9.0,6578.7,5615.599999999999
L,297.5,308.8,1502,45.9,150,11.300000000000011,7219.6,6885.0
M,300.9,310.0,1416,46.6,201,9.100000000000023,6910.0,9366.6
L,299.6,310.2,1468,48.0,9,10.599999999999966,7379.0,432.0
L,297.4,308.7,1433,43.4,116,11.300000000000011,6512.8,5034.4
L,302.7,311.5,1494,41.4,149,8.800000000000011,6477.1,6168.599999999999
L,296.7,307.6,1516,37.4,146,10.900000000000034,5937.4,5460.4
L,301.0,311.3,1349,47.0,71,10.300000000000011,6639.5,3337.0
H,301.0,310.0,1212,67.9,30,9.0,8617.9,2037.0000000000002
M,301.7,309.9,1434,47.9,189,8.199999999999989,7193.1,9053.1
L,300.2,310.2,1440,42.9,191,10.0,6469.2,8193.9
L,298.9,309.8,1390,49.9,21,10.900000000000034,7263.5,1047.8999999999999
L,298.6,309.9,1564,37.1,30,11.299999999999955,6076.3,1113.0
L,301.1,310.8,1521,41.0,99,9.699999999999989,6530.4,4059.0
L,301.5,310.5,1535,39.0,204,9.0,6269.0,7956.0
M,299.3,310.6,1457,42.1,104,11.300000000000011,6423.5,4378.400000000001
M,297.6,308.5,1443,38.2,85,10.899999999999977,5772.4,3247.0000000000005
M,300.8,309.7,1680,28.2,189,8.899999999999977,4961.2,5329.8
L,300.7,312.2,1590,38.5,148,11.5,6410.4,5698.0
L,302.3,311.8,1281,51.7,61,9.5,6935.3,3153.7000000000003
M,300.1,311.4,1575,29.8,210,11.299999999999955,4915.0,6258.0
M,301.0,310.4,1793,25.0,142,9.399999999999977,4694.1,3550.0
L,300.2,311.6,1446,47.3,66,11.400000000000034,7162.4,3121.7999999999997
M,297.7,308.2,1720,25.6,174,10.5,4611.0,4454.400000000001
M,297.3,308.8,1586,32.7,131,11.5,5431.0,4283.700000000001
M,298.1,307.9,1496,40.0,0,9.799999999999955,6266.4,0.0
H,298.1,309.5,1530,40.2,65,11.399999999999977,6440.9,2613.0
L,297.6,309.2,1611,33.1,155,11.599999999999966,5584.1,5130.5
M,301.1,311.3,1654,30.7,28,10.199999999999989,5317.4,859.6
M,300.7,310.7,1347,46.5,183,10.0,6559.2,8509.5
L,301.5,310.1,1541,42.2,52,8.600000000000023,6809.9,2194.4
L,299.9,309.2,1436,52.0,107,9.300000000000011,7819.6,5564.0
M,301.6,310.8,1664,32.0,58,9.199999999999989,5576.1,1856.0
L,304.2,313.4,1457,49.4,96,9.199999999999989,7537.3,4742.4
L,298.4,308.3,1473,39.9,184,9.900000000000034,6154.7,7341.599999999999
L,300.3,309.4,1470,33.5,148,9.099999999999966,5156.9,4958.0
M,298.9,308.6,1524,40.4,131,9.700000000000045,6447.6,5292.4
L,302.0,310.6,1583,38.9,94,8.600000000000023,6448.5,3656.6
L,302.4,310.1,1906,21.2,110,7.7000000000000455,4231.4,2332.0
L,302.1,311.5,1444,44.9,97,9.399999999999977,6789.6,4355.3
L,300.9,311.3,1449,40.2,168,10.400000000000034,6099.9,6753.6
L,298.5,309.5,1579,38.6,126,11.0,6382.6,4863.6
M,302.5,310.5,1918,21.6,131,8.0,4338.4,2829.6000000000004
L,301.3,311.0,1582,35.6,202,9.699999999999989,5897.7,7191.200000000001
L,302.7,310.7,1433,43.7,13,8.0,6557.8,568.1
L,296.8,307.6,1547,36.5,179,10.800000000000011,5913.1,6533.5
L,300.1,310.5,1500,39.8,107,10.399999999999977,6251.8,4258.599999999999
L,298.2,307.8,1355,59.4,115,9.600000000000023,8428.6,6831.0
H,297.6,308.8,1385,44.4,181,11.199999999999989,6439.6,8036.4
H,297.7,307.3,1514,38.6,19,9.600000000000023,6119.9,733.4
M,301.8,310.3,1409,52.5,26,8.5,7746.4,1365.0
H,299.3,309.1,1552,40.7,120,9.800000000000011,6614.8,4884.0
L,299.5,310.1,1585,35.2,50,10.600000000000023,5842.5,1760.0000000000002
L,300.8,310.2,1850,22.8,33,9.399999999999977,4417.1,752.4
M,300.7,309.4,1589,35.0,52,8.699999999999989,5824.0,1820.0
M,303.7,312.4,1642,32.3,206,8.699999999999989,5554.0,6653.799999999999
M,298.2,309.3,2056,18.7,144,11.100000000000023,4026.2,2692.7999999999997
H,300.6,311.7,1535,33.3,92,11.099999999999966,5352.8,3063.6
L,298.1,308.2,1482,37.9,17,10.099999999999966,5881.9,644.3
H,300.6,309.8,1913,22.5,157,9.199999999999989,4507.4,3532.5
M,300.7,311.9,1697,28.2,191,11.199999999999989,5011.4,5386.2
M,298.4,309.1,1576,38.8,167,10.700000000000045,6403.5,6479.599999999999
H,300.0,310.5,1558,36.7,137,10.5,5987.7,5027.900000000001
M,296.2,307.2,1633,31.1,0,11.0,5318.3,0.0
M,300.9,310.8,1988,19.7,136,9.900000000000034,4101.2,2679.2
H,300.3,311.8,2141,18.5,204,11.5,4147.8,3774.0
L,303.8,312.7,1664,29.3,178,8.899999999999977,5105.6,5215.400000000001
M,301.3,309.9,1501,39.5,27,8.599999999999966,6208.8,1066.5
L,301.6,310.6,1621,33.7,137,9.0,5720.6,4616.900000000001
L,299.8,309.5,1739,27.5,128,9.699999999999989,5008.0,3520.0
L,302.3,311.5,1448,49.6,28,9.199999999999989,7521.1,1388.8
M,298.1,309.1,1448,52.5,150,11.0,7960.8,7875.0
L,298.0,309.9,1403,47.7,43,11.899999999999977,7008.2,2051.1
L,297.7,309.0,1874,24.4,28,11.300000000000011,4788.4,683.1999999999999
M,303.4,312.1,1499,39.4,197,8.700000000000045,6184.8,7761.799999999999
L,302.3,311.1,1546,33.1,156,8.800000000000011,5358.8,5163.6
L,300.7,309.5,1592,29.0,17,8.800000000000011,4834.7,493.0
M,297.0,307.7,1498,47.1,199,10.699999999999989,7388.6,9372.9
L,297.4,308.5,1369,53.2,43,11.100000000000023,7626.8,2287.6
L,300.6,310.6,2127,18.7,53,10.0,4165.2,991.0999999999999
L,298.7,309.5,1446,40.0,160,10.800000000000011,6057.0,6400.0
H,302.2,311.9,1597,35.8,160,9.699999999999989,5987.1,5728.0
M,302.7,311.7,1759,29.9,5,9.0,5507.6,149.5
M,298.4,308.2,1463,37.6,188,9.800000000000011,5760.5,7068.8
L,300.2,311.6,1827,27.0,22,11.400000000000034,5165.7,594.0
L,302.1,311.3,1758,24.4,200,9.199999999999989,4492.0,4880.0
L,301.4,310.4,1639,28.9,94,9.0,4960.3,2716.6
L,302.6,311.6,1311,53.2,0,9.0,7303.7,0.0
H,303.3,311.8,1649,29.4,49,8.5,5076.9,1440.6
L,300.3,311.4,1318,52.7,13,11.099999999999966,7273.7,685.1
L,298.6,308.4,1485,42.9,38,9.799999999999955,6671.3,1630.2
L,301.3,311.0,1348,44.5,78,9.699999999999989,6281.7,3471.0
L,300.8,311.7,1397,43.5,227,10.899999999999977,6363.8,9874.5
L,297.6,308.7,1455,48.2,145,11.099999999999966,7344.1,6989.0
L,300.4,311.8,1367,57.2,10,11.400000000000034,8188.3,572.0
H,302.3,311.7,1456,45.4,130,9.399999999999977,6922.2,5902.0
L,299.3,310.5,1505,38.8,30,11.199999999999989,6115.0,1164.0
L,301.7,310.5,1377,43.1,183,8.800000000000011,6215.0,7887.3
L,296.6,307.4,1389,42.7,48,10.799999999999955,6211.0,2049.6000000000004
M,300.6,309.8,1447,42.9,12,9.199999999999989,6500.6,514.8
H,298.4,308.7,1344,52.9,130,10.300000000000011,7445.3,6877.0
M,298.7,308.4,1430,49.6,135,9.699999999999989,7427.6,6696.0
M,300.8,310.6,1669,28.4,79,9.800000000000011,4963.7,2243.6
L,299.2,308.8,1542,39.2,179,9.600000000000023,6329.9,7016.8
L,298.8,309.7,1374,58.6,123,10.899999999999977,8431.7,7207.8
M,300.2,311.6,1608,35.0,212,11.400000000000034,5893.6,7420.0
M,301.5,310.6,2432,14.2,126,9.100000000000023,3616.4,1789.1999999999998
M,299.0,310.3,1657,31.0,70,11.300000000000011,5379.1,2170.0
L,301.1,310.7,1334,48.2,106,9.599999999999966,6733.4,5109.200000000001
L,299.6,310.9,1533,31.8,91,11.299999999999955,5105.0,2893.8
L,297.5,308.9,1427,50.4,17,11.399999999999977,7531.5,856.8
L,300.4,310.1,1614,33.5,191,9.700000000000045,5662.1,6398.5
M,299.6,309.1,1435,48.4,143,9.5,7273.2,6921.2
H,301.2,310.6,1352,52.0,69,9.400000000000034,7362.2,3588.0
M,296.8,307.5,1443,39.2,13,10.699999999999989,5923.5,509.6
L,301.2,310.9,1467,37.1,153,9.699999999999989,5699.4,5676.3
L,298.3,308.1,1528,33.9,82,9.800000000000011,5424.4,2779.7999999999997
L,298.8,309.8,1634,33.6,27,11.0,5749.4,907.2
L,299.5,309.1,1357,47.3,106,9.600000000000023,6721.6,5013.799999999999
L,300.6,311.7,1744,26.9,111,11.099999999999966,4912.8,2985.8999999999996
L,300.0,309.6,1496,38.8,27,9.600000000000023,6078.4,1047.6
L,301.6,310.1,1687,26.6,16,8.5,4699.2,425.6
L,303.8,313.1,1309,55.8,193,9.300000000000011,7649.0,10769.4
H,300.2,311.4,1319,54.6,15,11.199999999999989,7541.6,819.0
L,298.9,309.8,1616,36.5,110,10.900000000000034,6176.8,4015.0
L,303.7,312.5,1632,36.6,186,8.800000000000011,6255.0,6807.6
M,301.7,310.5,1458,41.4,153,8.800000000000011,6321.0,6334.2
L,300.6,309.4,1474,40.7,87,8.799999999999955,6282.3,3540.9
L,296.3,307.2,1646,35.0,192,10.899999999999977,6032.9,6720.0
M,303.0,311.1,1597,36.7,191,8.100000000000023,6137.6,7009.700000000001
L,297.6,308.6,1664,30.1,81,11.0,5245.0,2438.1
M,301.2,310.7,1394,42.8,168,9.5,6247.9,7190.4
H,303.3,311.4,1692,27.9,55,8.099999999999966,4943.5,1534.5
M,297.8,309.2,1295,61.2,12,11.399999999999977,8299.5,734.4000000000001
L,298.1,307.7,1388,40.3,109,9.599999999999966,5857.6,4392.7
M,299.9,311.4,1337,54.8,32,11.5,7672.6,1753.6
M,302.6,312.1,1445,42.0,181,9.5,6355.4,7602.0
